nombre,edad,tiempo_en_primera,continente,gano_mundial,estado,pais,goles
Lionel Messi,37,21,América,T,A,Argentina,821
Son Heung-Min,32,15,Asia,F,A,Corea del Sur,154
Eden Hazard,34,16,Europa,F,R, Bélgica,167
Riyad Mahrez,34,14,África,F,A,Argelia,108
Andrés Iniesta,41,19,Europa,T,R,España,57
João Félix,25,7,Europa,F,A,Portugal,43
Thiago Silva,40,20,América,F,A,Brasil,33
Kylian Mbappé,26,9,Europa,T,A,Francia,297
Achraf Hakimi,26,8,África,F,A,Marruecos,35
Hidetoshi Nakata,10,5,Asia,F,R,Japón,53
Luis Suárez,38,19,América,F,A,Uruguay,471
Manuel Neuer,39,19,Europa,T,A,Alemania,0
